Differential gene expression analysis between FOXP3high vs. FOXP3low samples										
geneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	siggenes3	siggenes1	siggenes2	siggenes4
AL390879.1	0.181978958	2.211558416	1.433208556	0.15779535	0.330372785	-4.946244099	NA	not_sig	NA	other
PTP4A2	-0.181975799	8.119662614	-2.403836713	0.019830867	0.087889132	-3.538752079	NA	not_sig	NA	other
WDR66	0.18190946	3.012362163	0.944933345	0.349071621	0.545175697	-5.547418791	NA	not_sig	NA	other
AL449283.1	0.1819035	1.376546138	1.182877096	0.242248556	0.434088396	-5.220779621	NA	not_sig	NA	other
TRAV12-2	-0.181871684	1.033581605	-0.928501909	0.35744579	0.553711506	-5.46034525	NA	not_sig	NA	other
EDF1	-0.181826797	6.440093553	-3.341654454	0.001549753	0.019102473	-1.304090342	NA	not_sig	NA	other
CCDC113	0.181820563	2.109350572	0.844985231	0.401997839	0.594183756	-5.555380235	NA	not_sig	NA	other
CLIC2	-0.181758377	5.840612219	-1.296032813	0.200698417	0.384533496	-5.431657695	NA	not_sig	NA	other
TMC4	0.181639844	1.201628407	1.034564194	0.305669378	0.502215111	-5.368471248	NA	not_sig	NA	other
PDP2	-0.181635479	3.709694825	-1.413066021	0.163606055	0.338131027	-5.10720437	NA	not_sig	NA	other
STK16	-0.181628928	3.829894997	-2.116731269	0.039096276	0.134909978	-3.997199138	NA	not_sig	NA	other
CLYBL	0.181618563	1.886039687	1.550554765	0.127085748	0.289023032	-4.777478154	NA	not_sig	NA	other
DNAJC16	0.181613027	4.937273836	1.825081277	0.073746331	0.205519848	-4.611979076	NA	not_sig	NA	other
P4HTM	-0.181605149	3.588003865	-1.693398036	0.096374657	0.243424189	-4.694821705	NA	not_sig	NA	other
ATP2A2	0.181592155	8.285045829	1.511113768	0.13682495	0.302810065	-5.116049729	NA	not_sig	NA	other
LDLRAP1	0.181582742	4.524758188	1.666955715	0.101547798	0.25179111	-4.832749576	NA	not_sig	NA	other
CITED4	0.181518664	2.877290658	0.699632983	0.487280771	0.664249287	-5.726377409	NA	not_sig	NA	other
ERP29	-0.181514348	5.966064345	-1.413917554	0.16335709	0.337738762	-5.281540442	NA	not_sig	NA	other
AC011043.1	-0.181483994	2.991676738	-0.48085479	0.632640757	0.77379994	-5.843082137	NA	not_sig	NA	other
ARL5B	-0.181421648	6.666110138	-1.309630866	0.196088866	0.379482509	-5.424457372	NA	not_sig	NA	other
OSCAR	0.18141963	3.13431014	0.85482171	0.396578902	0.589583618	-5.642154928	NA	not_sig	NA	other
PLEKHA3	-0.181416941	5.515715182	-1.89110458	0.064198095	0.187866094	-4.533586687	NA	not_sig	NA	other
DAPP1	-0.181333263	6.271235413	-1.293236238	0.201656428	0.385980365	-5.443968291	NA	not_sig	NA	other
DUSP11	-0.181324494	4.784788945	-2.392150653	0.020406955	0.089492728	-3.533830342	NA	not_sig	NA	other
CASP1P2	-0.181295693	0.277925731	-1.660267201	0.10289179	0.254019045	-4.593992511	NA	not_sig	NA	other
CLEC2B	-0.181279507	6.31227217	-1.497959677	0.140201857	0.307145555	-5.173734932	NA	not_sig	NA	other
ZNF511	-0.181272436	3.659585912	-2.181444998	0.033703518	0.122698286	-3.861533749	NA	not_sig	NA	other
B3GAT1	0.181269789	1.315596162	1.210910251	0.231415406	0.421415231	-5.188359083	NA	not_sig	NA	other
EHF	0.181222631	6.376937638	0.690596028	0.492896685	0.668334164	-6.019331539	NA	not_sig	NA	other
GRSF1	-0.181214752	6.761889905	-2.459384976	0.017287486	0.081042487	-3.448532721	NA	not_sig	NA	other
F5	-0.181184069	3.665760228	-0.705086141	0.483909242	0.661738064	-5.813964811	NA	not_sig	NA	other
SLC45A2	0.181175253	-0.248184592	1.312265667	0.19520501	0.378351127	-5.051733091	NA	not_sig	NA	other
LRRFIP1P1	0.181160007	1.425514992	1.207275264	0.232799798	0.423216193	-5.195164465	NA	not_sig	NA	other
CARMIL3	0.181058732	1.386936055	1.099909391	0.276447582	0.471014311	-5.307965705	NA	not_sig	NA	other
ETF1	-0.181027831	7.568373748	-2.457106946	0.01738571	0.081320114	-3.441816699	NA	not_sig	NA	other
SUMO2	-0.181011137	7.302364041	-2.057371454	0.044691161	0.147350043	-4.250668152	NA	not_sig	NA	other
KIF9	-0.181005856	1.710214797	-1.534462738	0.130990193	0.294500073	-4.795786819	NA	not_sig	NA	other
ZNF175	0.181005212	3.696783282	1.582604105	0.119587478	0.278589916	-4.877775962	NA	not_sig	NA	other
PPOX	-0.180983227	2.483520151	-1.854470701	0.069357644	0.197366176	-4.340368628	NA	not_sig	NA	other
NHLRC3	-0.180943493	5.754585018	-1.364356904	0.17834264	0.357009255	-5.341096493	NA	not_sig	NA	other
CCNF	-0.180937994	4.333377928	-1.132990613	0.262425406	0.457222005	-5.512917927	NA	not_sig	NA	other
RPP25L	-0.180888426	2.770149825	-1.488516807	0.142666454	0.310479479	-4.911953766	NA	not_sig	NA	other
STOML1	-0.180816577	3.693236233	-1.472529634	0.146916992	0.316558787	-5.032052763	NA	not_sig	NA	other
ZNF438	0.180796957	4.000261493	1.665773704	0.10178426	0.252105213	-4.788532747	NA	not_sig	NA	other
LYRM2	-0.180786677	5.140319592	-2.486666147	0.016149497	0.077711931	-3.351611742	NA	not_sig	NA	other
RAP1GAP	0.180720294	0.873331199	0.911004843	0.366504947	0.562350795	-5.47271666	NA	not_sig	NA	other
PNPLA4	-0.180712559	2.896596569	-1.224111029	0.226438484	0.415446464	-5.253343262	NA	not_sig	NA	other
MTDH	-0.180708178	8.269733062	-2.763795172	0.007888578	0.050015515	-2.732038967	NA	not_sig	NA	other
TBL1X	0.180694455	4.842969277	1.78613395	0.079920161	0.216273772	-4.671308319	NA	not_sig	NA	other
TCAIM	-0.180654354	4.56052206	-2.514443235	0.015060848	0.074339893	-3.257037181	NA	not_sig	NA	other
ADAR	0.180644161	8.952102824	1.613269747	0.112750863	0.268286582	-4.934095757	NA	not_sig	NA	other
SLC52A1	0.180622668	1.031534987	1.342423939	0.185301498	0.36621906	-5.030917624	NA	not_sig	NA	other
ASXL3	0.180612775	0.338327147	1.4891454	0.142501334	0.310296441	-4.833966629	NA	not_sig	NA	other
GSAP	-0.180492308	5.947806544	-1.196176144	0.237064312	0.428738657	-5.55236766	NA	not_sig	NA	other
RBFA	-0.180452	3.626945535	-2.112174899	0.039502944	0.135759164	-3.987344381	NA	not_sig	NA	other
PES1	-0.180450164	5.436623286	-2.868019003	0.00595792	0.042177689	-2.491708523	NA	not_sig	NA	other
NSUN6	-0.180434776	3.378522124	-1.435201483	0.157229288	0.32964637	-5.045607679	NA	not_sig	NA	other
RPL14	-0.180410332	8.117889142	-1.844813547	0.070774744	0.200132394	-4.605457011	NA	not_sig	NA	other
C2CD4B	0.180375861	0.722638533	1.117989226	0.268720195	0.463380661	-5.277007943	NA	not_sig	NA	other
ARHGEF28	-0.180329629	4.565432767	-1.163878822	0.24979608	0.442862879	-5.504495801	NA	not_sig	NA	other
ZNF764	0.180255463	2.620799798	1.428667446	0.15909112	0.332086229	-4.983698928	NA	not_sig	NA	other
ZNF669	-0.180229428	3.144731339	-1.909782852	0.061695392	0.182797632	-4.303802174	NA	not_sig	NA	other
ANGPT4	0.18019954	-0.008401787	1.598085788	0.11609531	0.273195644	-4.681241383	NA	not_sig	NA	other
AC073349.2	0.180194868	-0.038887066	1.524847326	0.133368524	0.297661571	-4.782626696	NA	not_sig	NA	other
KRBOX4	-0.180192775	3.190126305	-2.010256689	0.049614511	0.15807414	-4.130674131	NA	not_sig	NA	other
KRI1	0.180149202	4.09107141	1.189512881	0.239651618	0.431837233	-5.422903722	NA	not_sig	NA	other
SEZ6	0.180139652	0.642124258	1.211361775	0.231243863	0.421282038	-5.175401791	NA	not_sig	NA	other
AIMP1	-0.180138022	5.799707463	-3.062951343	0.003469967	0.03092039	-2.022180125	NA	not_sig	NA	other
POLI	-0.180092973	4.429385721	-1.618506382	0.111615715	0.266704837	-4.896773543	NA	not_sig	NA	other
REXO5	-0.180090704	1.841100729	-1.342184414	0.18537862	0.366286935	-5.0488061	NA	not_sig	NA	other
SLC41A2	-0.180083206	5.740242562	-1.347588	0.183644726	0.364543403	-5.364176012	NA	not_sig	NA	other
MSANTD4	-0.180037845	4.846178471	-1.880558425	0.065648906	0.190581032	-4.511607288	NA	not_sig	NA	other
THRB	0.180014782	3.515500662	1.011655439	0.316396334	0.512585231	-5.542473244	NA	not_sig	NA	other
ZNF235	-0.180000434	2.980972319	-1.709863801	0.093264349	0.23837796	-4.611291363	NA	not_sig	NA	other
AQP3	0.179898408	8.150870268	0.623089146	0.535954659	0.702117419	-6.025581858	NA	not_sig	NA	other
TOX	-0.179894893	2.751542656	-1.244621324	0.218862376	0.406331032	-5.213906186	NA	not_sig	NA	other
ARL6IP4	-0.179852035	5.797804308	-3.067250588	0.003428082	0.030800576	-2.011112058	NA	not_sig	NA	other
GUCY2C	0.179845279	0.955696128	1.250833493	0.216605098	0.403454678	-5.137306829	NA	not_sig	NA	other
SEC11A	-0.179835852	6.400375779	-2.502357011	0.015526093	0.075750525	-3.355035148	NA	not_sig	NA	other
GUF1	-0.179824576	5.014669498	-2.093622806	0.041197147	0.139544345	-4.141067279	NA	not_sig	NA	other
YTHDF1	0.179817462	5.238605709	2.620193775	0.011498567	0.062531901	-3.062590109	NA	not_sig	NA	other
TMEM170A	-0.179816273	5.093343948	-1.61903576	0.11150148	0.266573062	-4.95154482	NA	not_sig	NA	other
FRMD6	0.179777759	7.515380459	1.45140993	0.152684168	0.324403167	-5.225755843	NA	not_sig	NA	other
RERE	0.179773728	5.742913442	1.439471308	0.156021839	0.328199728	-5.242178596	NA	not_sig	NA	other
SEPSECS	-0.179755803	4.428353939	-1.825928486	0.073616621	0.205423602	-4.568230628	NA	not_sig	NA	other
TICAM2	-0.179722382	3.715359086	-1.011629046	0.316408837	0.512585231	-5.571094439	NA	not_sig	NA	other
PPP2R5C	-0.179651317	7.444034541	-2.485384386	0.016201409	0.077891389	-3.384225188	NA	not_sig	NA	other
VDAC1	-0.179651227	7.705765572	-2.52140474	0.014798644	0.073521246	-3.298547945	NA	not_sig	NA	other
HDDC3	-0.179581219	2.963721588	-1.880737903	0.065623985	0.190581032	-4.335238655	NA	not_sig	NA	other
SMUG1	-0.179522559	3.894228682	-2.138094462	0.03723798	0.13062278	-3.964415196	NA	not_sig	NA	other
TRAV9-2	-0.179522395	0.536486273	-1.188776798	0.239938687	0.432111685	-5.199124392	NA	not_sig	NA	other
HSPA12A	0.179506906	3.395913873	1.693527831	0.09634981	0.243424189	-4.679969933	NA	not_sig	NA	other
RPS4X	-0.17947754	8.935752873	-1.139523695	0.259717046	0.454288736	-5.552141459	NA	not_sig	NA	other
C3orf38	-0.179471392	5.504546244	-2.372182857	0.021426142	0.092214798	-3.614700211	NA	not_sig	NA	other
TMEM200C	0.179468981	1.195887186	0.986290145	0.328566832	0.525516671	-5.41263703	NA	not_sig	NA	other
SSNA1	-0.179446603	4.130806905	-2.19698981	0.032509973	0.119882274	-3.873287255	NA	not_sig	NA	other
DSTNP2	0.179436167	1.459733291	1.85617183	0.069110519	0.197055883	-4.30708531	NA	not_sig	NA	other
AC026464.4	0.179435676	4.212891935	2.138605881	0.037194459	0.130548279	-3.995738092	NA	not_sig	NA	other
ZNF99	0.179414164	0.557259958	1.280710548	0.205989428	0.39090098	-5.097323615	NA	not_sig	NA	other
SLC25A16	-0.179409851	4.847118822	-1.426856742	0.159610094	0.332558291	-5.204862609	NA	not_sig	NA	other
FBXW12	0.179408473	0.434939341	1.447233144	0.153845454	0.32546058	-4.890420591	NA	not_sig	NA	other
CASP7	-0.179375942	6.47928635	-1.594568579	0.116881353	0.274378777	-5.034689624	NA	not_sig	NA	other
TP63	0.179341786	6.785449353	0.774950615	0.441885527	0.627886628	-5.959017366	NA	not_sig	NA	other
CU024913.1	-0.179324706	0.337214005	-1.040514434	0.30292427	0.49922475	-5.348328365	NA	not_sig	NA	other
SYNE4	0.179292103	0.098926711	1.492292128	0.141677016	0.309261665	-4.827816905	NA	not_sig	NA	other
PLEKHG3	0.179268095	5.744355272	1.607922114	0.113919717	0.269811832	-5.00094959	NA	not_sig	NA	other
NLRP6	-0.179248858	0.892949522	-0.918716336	0.36249428	0.558755444	-5.466614436	NA	not_sig	NA	other
AF228730.5	0.179225191	2.005195697	1.386052323	0.171657799	0.348711721	-4.997243327	NA	not_sig	NA	other
GPS2	-0.179214649	4.109132247	-1.197484354	0.236558737	0.428186066	-5.415426684	NA	not_sig	NA	other
MOBP	0.179189227	0.683987157	1.109154923	0.272476736	0.467551514	-5.284964547	NA	not_sig	NA	other
AC135983.4	-0.179185415	0.443971758	-0.646881766	0.520559398	0.690570896	-5.654155179	NA	not_sig	NA	other
BOLA1	-0.179178764	2.10280676	-1.726534407	0.09020026	0.232983325	-4.52566429	NA	not_sig	NA	other
CCDC71	0.179150271	3.374553199	2.070362525	0.043410525	0.144744012	-4.042050549	NA	not_sig	NA	other
TNFRSF1B	0.179130644	7.455367694	1.216829233	0.229174044	0.418892678	-5.523135574	NA	not_sig	NA	other
APAF1	0.179122973	5.458382016	1.481682637	0.144471431	0.313253134	-5.172716635	NA	not_sig	NA	other
ZNF563	-0.179075838	2.445283931	-1.466467514	0.148554565	0.318783299	-4.917492704	NA	not_sig	NA	other
TMEM81	0.179070615	0.439685766	1.552798808	0.126548751	0.288610072	-4.748648294	NA	not_sig	NA	other
GLDN	0.179012784	3.112905733	0.719583992	0.4750093	0.655161525	-5.723532699	NA	not_sig	NA	other
AC098484.3	-0.178941922	1.937245797	-1.957890017	0.055629288	0.170477464	-4.146093999	NA	not_sig	NA	other
CGN	0.178926605	2.747625091	0.799063642	0.427895471	0.616654881	-5.641549296	NA	not_sig	NA	other
RGR	0.1789004	0.361626674	1.518561453	0.13494181	0.30003616	-4.794999043	NA	not_sig	NA	other
KIF25	0.178862734	0.453358341	1.22479845	0.226181484	0.415239913	-5.158992853	NA	not_sig	NA	other
BNC1	-0.17883989	5.470859644	-0.697202469	0.488787683	0.665063488	-5.988872716	NA	not_sig	NA	other
GPR31	-0.17882089	1.08651221	-1.034802827	0.305558961	0.502178235	-5.366508197	NA	not_sig	NA	other
OSBP2	0.178818695	2.617977636	1.288867824	0.203159757	0.387731064	-5.153263612	NA	not_sig	NA	other
GTF3C6	-0.178801604	5.16789733	-2.863157656	0.006037233	0.04249388	-2.493141861	NA	not_sig	NA	other
PAQR3	-0.178792335	4.618958833	-1.663615127	0.102217248	0.252762256	-4.84497016	NA	not_sig	NA	other
SLC6A15	-0.178781504	1.327486782	-0.787919249	0.43432806	0.622051353	-5.577677734	NA	not_sig	NA	other
OXA1L	0.178778004	5.360332314	2.035833861	0.04688658	0.152123737	-4.268651068	NA	not_sig	NA	other
ZNF529	-0.178776019	4.201655562	-1.506773597	0.137931945	0.304067078	-5.03714866	NA	not_sig	NA	other
ZNF852	0.178764818	2.444963494	1.398869004	0.167800358	0.344059044	-5.004651941	NA	not_sig	NA	other
MROH1	0.178702661	4.733980519	1.662055411	0.102531048	0.253332015	-4.862147071	NA	not_sig	NA	other
TMEM231	0.178694416	2.889146589	1.557242925	0.125490645	0.28730981	-4.830001108	NA	not_sig	NA	other
SLC6A6	0.178683867	6.957193574	1.642797431	0.106470936	0.258809762	-4.959824549	NA	not_sig	NA	other
RWDD3	-0.17866913	2.676856869	-1.285926565	0.204176671	0.388978251	-5.164307854	NA	not_sig	NA	other
FOXO3	0.178646575	6.987026978	2.25751554	0.028210393	0.109721321	-3.867618724	NA	not_sig	NA	other
GON4L	-0.178623879	6.14465314	-1.25552848	0.214910583	0.401608875	-5.487284388	NA	not_sig	NA	other
IARS1	-0.178578163	7.258798023	-1.825803457	0.073635752	0.205438703	-4.662320808	NA	not_sig	NA	other
BBIP1	-0.178568963	4.350954587	-1.925082203	0.059707801	0.17874076	-4.392981479	NA	not_sig	NA	other
DMXL2	-0.178490298	8.093568174	-0.971495744	0.335807739	0.531527812	-5.759281923	NA	not_sig	NA	other
SUGCT	-0.17845561	0.843294501	-1.056897144	0.295453572	0.491036726	-5.338867613	NA	not_sig	NA	other
ZNF831	-0.17844247	4.894577762	-0.950744318	0.346141034	0.542329845	-5.745035382	NA	not_sig	NA	other
RPLP2	0.178437524	8.193966913	1.790548716	0.079199292	0.215078951	-4.6924731	NA	not_sig	NA	other
AC005531.1	0.178406478	0.405633178	1.338884744	0.186443523	0.367524824	-5.025840089	NA	not_sig	NA	other
CDCA7L	-0.178369795	4.102729786	-1.419431411	0.161752096	0.335728468	-5.145794451	NA	not_sig	NA	other
STAP2	-0.178369526	4.32300098	-1.058406853	0.294771572	0.490445166	-5.594525976	NA	not_sig	NA	other
TNFRSF10A	-0.178334623	4.617696087	-2.00969255	0.049676192	0.15821179	-4.27083744	NA	not_sig	NA	other
GLRX3	-0.178314738	5.761438061	-2.280869488	0.026691194	0.105733679	-3.810427523	NA	not_sig	NA	other
COL8A2	0.178291965	4.765416079	1.554851406	0.12605916	0.288065535	-5.023611809	NA	not_sig	NA	other
IL33	-0.178284297	5.684095917	-0.72358588	0.472568999	0.653271635	-5.979423892	NA	not_sig	NA	other
PCDHGA12	0.178188678	2.479308396	1.114128737	0.270357235	0.465406882	-5.339120133	NA	not_sig	NA	other
ARL9	0.178142694	0.303412028	1.846139859	0.070578683	0.19983981	-4.307451049	NA	not_sig	NA	other
TMEM141	-0.178101531	3.871215523	-1.702303816	0.094681953	0.240644097	-4.711551148	NA	not_sig	NA	other
PLA2G4E	0.178068042	6.039247351	0.796784731	0.429206206	0.617749158	-5.938239966	NA	not_sig	NA	other
LIN7C	-0.178058381	6.444198821	-2.292828952	0.025941726	0.103942923	-3.79766388	NA	not_sig	NA	other
LYSMD2	-0.178033641	4.265366954	-1.254267765	0.215364632	0.401887253	-5.377095976	NA	not_sig	NA	other
RIMBP3	0.178021209	2.918941054	1.106706465	0.273524389	0.468682296	-5.38535502	NA	not_sig	NA	other
TBRG1	-0.178019985	5.152746047	-1.762104097	0.083940738	0.22300421	-4.730139649	NA	not_sig	NA	other
WDR7	-0.178002608	6.100080378	-1.785088503	0.080091668	0.21645468	-4.731212466	NA	not_sig	NA	other
NPM1P40	-0.177999731	0.772821784	-0.645573615	0.52139972	0.690882869	-5.663253126	NA	not_sig	NA	other
FBXL4	-0.177988252	5.170243971	-1.802020109	0.077351579	0.211841642	-4.665195781	NA	not_sig	NA	other
DGKE	-0.177975887	4.208081451	-1.418284133	0.162085037	0.336286195	-5.15516841	NA	not_sig	NA	other
EPB41L5	-0.177954992	4.059058636	-1.308142272	0.196589554	0.379848371	-5.284151293	NA	not_sig	NA	other
ZNF285	-0.177941711	1.188124166	-0.864843797	0.391104617	0.584387624	-5.515810959	NA	not_sig	NA	other
BMP3	0.177916127	-0.152375283	1.780515765	0.080845457	0.217925147	-4.408310103	NA	not_sig	NA	other
CFAP74	0.177871427	1.017547061	0.921340973	0.361135709	0.557430497	-5.466554426	NA	not_sig	NA	other
G6PC	0.177846981	0.731629226	1.162163239	0.250485872	0.443503986	-5.230897874	NA	not_sig	NA	other
TUSC3	-0.177807495	4.418651701	-1.241559446	0.219981328	0.40801259	-5.400910295	NA	not_sig	NA	other
G2E3	-0.177807185	4.754091823	-1.41926889	0.161799228	0.335733887	-5.207503226	NA	not_sig	NA	other
ENTHD1	-0.177806795	0.526420067	-0.949873658	0.346579095	0.542619034	-5.433374341	NA	not_sig	NA	other
PTAFR	0.177779946	7.150239101	1.090711004	0.280438295	0.47469663	-5.669364836	NA	not_sig	NA	other
SLC9B2	-0.177772739	3.543384712	-1.820174706	0.074501326	0.207116105	-4.495203156	NA	not_sig	NA	other
CSKMT	-0.1777401	1.997000126	-1.102472313	0.275342791	0.469768571	-5.319867218	NA	not_sig	NA	other
VWCE	0.177714348	0.187132481	1.45498775	0.151694883	0.322745045	-4.877687318	NA	not_sig	NA	other
EIF3J	0.177709863	5.719118911	1.813830313	0.075487189	0.208637525	-4.673673942	NA	not_sig	NA	other
AC079594.2	-0.177688853	0.288784724	-0.576403083	0.566834374	0.725606233	-5.693574426	NA	not_sig	NA	other
POLR3K	0.177624921	2.528634448	1.463588916	0.149337173	0.319834804	-4.925437486	NA	not_sig	NA	other
CORO1A	0.177624757	7.030817646	0.922174305	0.360705047	0.557045173	-5.835259196	NA	not_sig	NA	other
COQ6	-0.177620943	3.215829598	-1.965940586	0.054665767	0.168736708	-4.21142267	NA	not_sig	NA	other
CSF1	0.177616082	5.789869244	1.127570598	0.264687521	0.459899938	-5.626115459	NA	not_sig	NA	other
ZNF146	-0.177499762	6.442465566	-2.227633623	0.030265769	0.114547004	-3.928854818	NA	not_sig	NA	other
YLPM1	0.17748677	5.874890806	2.0364996	0.046817345	0.151961151	-4.286526859	NA	not_sig	NA	other
CPTP	0.177465037	3.33141793	1.046549208	0.300157441	0.496205828	-5.492400932	NA	not_sig	NA	other
SERPINH1	0.177463446	7.283598594	1.34108318	0.185733505	0.366703082	-5.377458701	NA	not_sig	NA	other
ZNF189	-0.177445357	4.734056995	-1.797557877	0.078065977	0.212912861	-4.641551154	NA	not_sig	NA	other
SLC25A27	0.1774372	0.413125282	0.95810519	0.342452025	0.538916645	-5.424272229	NA	not_sig	NA	other
LSAMP	0.177404614	2.597135312	0.809638968	0.421844442	0.611485193	-5.619511102	NA	not_sig	NA	other
NRIP3	-0.177403284	4.237357764	-1.000975583	0.321483038	0.518106252	-5.646767002	NA	not_sig	NA	other
SLCO1A2	0.177366739	0.66627751	1.189474086	0.239666742	0.431837233	-5.200579613	NA	not_sig	NA	other
WNT16	0.177347635	2.770779121	0.431269433	0.668058673	0.79713662	-5.858207373	NA	not_sig	NA	other
NEURL2	0.177310099	0.282424229	1.270997141	0.20939721	0.394708554	-5.104884424	NA	not_sig	NA	other
SLC25A39	0.17729677	5.285255406	1.569991265	0.122494707	0.283168129	-5.036543948	NA	not_sig	NA	other
TDP1	-0.177268013	4.85269045	-2.100812417	0.040533206	0.13810807	-4.114459063	NA	not_sig	NA	other
SAAL1	-0.177264295	3.276504578	-2.400340503	0.020001669	0.088353143	-3.391547247	NA	not_sig	NA	other
THOC7	-0.177200347	4.896304014	-2.202486798	0.032096913	0.118871028	-3.92308145	NA	not_sig	NA	other
VPS9D1	0.177170484	3.885729203	1.283471714	0.205028329	0.390123348	-5.304531571	NA	not_sig	NA	other
THNSL2	0.177156954	2.786559003	0.671616156	0.504806839	0.677599711	-5.739819494	NA	not_sig	NA	other
RNF111	0.177153648	5.410076165	1.831536326	0.072762881	0.203794189	-4.632488319	NA	not_sig	NA	other
RPL23AP64	0.17713099	0.392051824	1.430316767	0.158619544	0.331425047	-4.91150039	NA	not_sig	NA	other
ZBTB24	-0.177118155	5.04588642	-2.220537273	0.030772922	0.115592517	-3.897106518	NA	not_sig	NA	other
C1orf52	-0.177109319	3.667647003	-2.052418139	0.045188016	0.148445189	-4.105513434	NA	not_sig	NA	other
ACSL1	-0.177063887	8.532949823	-1.299284794	0.199588703	0.383264918	-5.383456992	NA	not_sig	NA	other
AL022238.4	-0.177005683	2.990203999	-1.395428259	0.168829283	0.345094471	-5.055255352	NA	not_sig	NA	other
WWC2	0.176923559	5.021249966	1.589030369	0.118127772	0.276357663	-4.991191447	NA	not_sig	NA	other
STOX2	0.176919775	2.44161425	0.726717928	0.470664082	0.651375659	-5.664745597	NA	not_sig	NA	other
EIF4A3	-0.176913529	6.651071744	-1.802372108	0.077295458	0.211755674	-4.707064	NA	not_sig	NA	other
PPIAL4G	0.176911539	1.851061734	1.136296331	0.261052486	0.455790247	-5.280832375	NA	not_sig	NA	other
GADD45GIP1	0.176892495	3.973375978	1.74088642	0.08762955	0.229037857	-4.666849679	NA	not_sig	NA	other
DNAJC3	-0.176881665	7.7891778	-2.622590263	0.011427592	0.062267932	-3.071835818	NA	not_sig	NA	other
AC026412.1	0.176859879	2.100598243	1.336480149	0.187222484	0.36856938	-5.063820599	NA	not_sig	NA	other
MARVELD3	0.176847684	1.880994229	1.433303151	0.157768445	0.330372295	-4.936213661	NA	not_sig	NA	other
LUZP1	0.176833363	6.395766792	2.020960841	0.048456618	0.155464543	-4.324307575	NA	not_sig	NA	other
UTP20	-0.176787618	5.477112123	-2.273562287	0.027158531	0.107089533	-3.813450631	NA	not_sig	NA	other
USP21	0.17678618	2.724489834	1.649056696	0.105177053	0.257197921	-4.680607574	NA	not_sig	NA	other
LIFR	-0.176771557	5.320349755	-1.071203677	0.289034306	0.4846957	-5.660907945	NA	not_sig	NA	other
DBNDD2	0.176719527	4.391182664	2.075801103	0.042883946	0.143704908	-4.129143861	NA	not_sig	NA	other
EHD4	0.176541518	6.521807032	2.41839217	0.019133782	0.085922198	-3.536548841	NA	not_sig	NA	other
RPH3A	0.176538227	0.375119313	1.1907854	0.23915593	0.431200811	-5.195739934	NA	not_sig	NA	other
NBPF8	-0.176531183	4.731137113	-0.946974084	0.348040594	0.544035932	-5.732769886	NA	not_sig	NA	other
AQP9	-0.176528398	6.915671258	-0.616752379	0.540094377	0.70533945	-6.063520417	NA	not_sig	NA	other
CCR12P	0.176507165	0.455838081	1.343282346	0.185025312	0.365842105	-5.021542211	NA	not_sig	NA	other
FBXW4P1	0.176483839	0.684513149	1.530870763	0.131874662	0.295785528	-4.782200222	NA	not_sig	NA	other
C4orf19	0.176456047	1.707577157	1.115757596	0.269665662	0.46444981	-5.299337241	NA	not_sig	NA	other
CNTNAP4	0.176424722	0.139622467	0.724304462	0.47213157	0.652773546	-5.602990885	NA	not_sig	NA	other
C10orf67	0.176412812	0.515789342	1.641319837	0.106778263	0.259225652	-4.624234441	NA	not_sig	NA	other
NEPRO	-0.176412541	5.77463509	-1.754292149	0.085283561	0.225104961	-4.773857784	NA	not_sig	NA	other
SDHAF4	-0.176405348	2.128516818	-1.512226175	0.136542361	0.302559763	-4.837326117	NA	not_sig	NA	other
XPO4	-0.176381441	6.005692906	-2.407084452	0.019673379	0.087469622	-3.55417761	NA	not_sig	NA	other
ENTPD3	0.17635006	1.75699512	0.789366063	0.433489719	0.621214346	-5.586022483	NA	not_sig	NA	other
ANKUB1	0.176347517	0.656027387	1.171049103	0.24692788	0.4394278	-5.220734879	NA	not_sig	NA	other
ADGRF2	-0.176336979	0.185128513	-1.046951272	0.29997372	0.495949986	-5.339323837	NA	not_sig	NA	other
LDLRAD1	0.176330407	0.1941045	1.25067613	0.216662065	0.403516896	-5.126845863	NA	not_sig	NA	other
ZMYM3	0.176253236	4.429979109	1.936441807	0.058267626	0.175736718	-4.381144651	NA	not_sig	NA	other
LZTS3	0.176240174	1.104604895	1.395907935	0.168685549	0.345058727	-4.966207164	NA	not_sig	NA	other
PRKRA	-0.176220756	4.669426261	-1.908892065	0.061812833	0.183075886	-4.447668011	NA	not_sig	NA	other
CCAR2	0.176219432	5.863921183	1.817184987	0.074964545	0.207998677	-4.672270349	NA	not_sig	NA	other
MAL2	0.176159978	6.07585635	0.673643055	0.503527525	0.676784307	-6.02639354	NA	not_sig	NA	other
UGP2	-0.176145524	7.309574623	-2.082268757	0.04226497	0.142176581	-4.203278176	NA	not_sig	NA	other
SPACA6	0.176099645	1.270429853	1.252002145	0.216182386	0.403033976	-5.142224742	NA	not_sig	NA	other
HDAC10	0.176096278	3.113625151	1.156645008	0.252713888	0.446065279	-5.350094891	NA	not_sig	NA	other
C16orf70	0.176082107	4.478606114	1.530668274	0.131924663	0.295785528	-5.030950521	NA	not_sig	NA	other
KANTR	0.17604064	3.628216516	1.46550494	0.148815902	0.319106753	-5.027361475	NA	not_sig	NA	other
GEMIN4	0.176026407	4.331902554	1.547796674	0.127748253	0.289913708	-4.993025094	NA	not_sig	NA	other
